;esco code;esco name;kzis code;kzis name
144;7233.8.1;mechanik maszyn rolniczych;723308;Mechanik maszyn rolniczych
145;7233.9;mechanik okrętowy;723311;Mechanik okrętowy
146;7231.3;mechanik silników spalinowych;723312;Mechanik silników spalinowych
147;7234.1;mechanik rowerowy;723401;Monter-mechanik rowerów / wózków
148;7311.1;zegarmistrz;731106;Zegarmistrz
149;7311.6;zegarmistrz specjalista naprawy zegarków i zegarów;731106;Zegarmistrz
150;7311.3;mechanik konserwator sprzętu optycznego;731104;Optyk-mechanik
151;7312.2;korektor instrumentów muzycznych;731208;Korektor (naprawiacz) instrumentów muzycznych
152;7312.3.2;budowniczy organów;731207;Organomistrz
153;7312.3.3;monter fortepianów i pianin;731202;Monter fortepianów i pianin
154;7313.1.2;złotnik-jubiler;731305;Złotnik-jubiler
155;8181.10;szkliwierz ceramiki;731409;Szkliwierz ceramiki
156;7314.2;garncarz;731405;Garncarz
157;7315.1;hutnik dmuchacz szkła;731502;Hutnik dmuchacz szkła
158;7315.2;krajacz szkła;731503;Krajacz szkła
159;7316.1.1;dekorator wyrobów ceramicznych;731609;Zdobnik ceramiki
160;7316.4;szyldziarz;731608;Szyldziarz
161;7316.2;specjalista grawerowania w szkle;731604;Grawer szkła
162;7317.6;rzeźbiarz w drewnie;731705;Rzeźbiarz w drewnie
163;7317.3;szczotkarz;731707;Szczotkarz
164;7317.2;wyplatacz koszyków;731702;Koszykarz-plecionkarz
165;7318.5;rękodzielnik wyrobów skórzanych;731810;Rękodzielnik wyrobów skórzanych
166;7317.4;zabawkarz;731904;Zabawkarz
167;7321.1.6;operator DTP;732108;Operator DTP
168;7322.9;drukarz sitodrukowy;732202;Drukarz sitodrukowy
169;7322.10;drukarz tkanin;732203;Drukarz tkanin
170;7322.2;operator maszyn fleksograficznych;732204;Maszynista maszyn fleksograficznych
171;7322.5;drukarz offsetowy;732205;Maszynista maszyn offsetowych
172;7323.1;operator maszyn introligatorskich;732304;Operator maszyn introligatorskich
173;7411.1;elektryk;741103;Elektryk
174;7411.1.1;elektryk budowlany;741104;Elektryk budowlany
175;7412.3;elektromechanik;741201;Elektromechanik
176;7411.1.2;elektromechanik elektrycznych przyrządów pomiarowych;741202;Elektromechanik elektrycznych przyrządów pomiarowych
177;7412.2;elektromechanik pojazdów samochodowych;741203;Elektromechanik pojazdów samochodowych
